City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,akureyri,65.6835,-18.0878,33.73,86,75,9.22,IS,1712894290
158,comodoro rivadavia,-45.8667,-67.5,40.86,60,0,6.91,AR,1712894258
159,sant carles de la rapita,40.6167,0.6,52.38,53,2,3.04,ES,1712894292
160,haiku-pauwela,20.9219,-156.3051,76.05,81,0,5.75,US,1712894293
161,xai-xai,-25.0519,33.6442,68.25,77,61,10.25,MZ,1712894294
162,laguna,38.421,-121.4238,71.89,59,0,6.91,US,1712894295
163,namtsy,62.7161,129.6658,16.14,80,89,15.01,RU,1712894295
164,barcelos,41.5388,-8.6151,66.34,74,40,5.48,PT,1712894296
165,zhangjiakou,40.81,114.8794,72.3,24,39,2.89,CN,1712894297
166,utrik,11.2278,169.8474,80.17,75,100,18.7,MH,1712894298
167,kupang,-10.1667,123.5833,90.18,70,75,9.22,ID,1712894299
168,ausa,41.9271,2.2497,55.29,81,2,3.83,ES,1712894299
169,labrador city,52.9463,-66.9114,37.18,59,100,12.66,CA,1712894054
170,guskhara,23.5,87.75,92.19,25,51,4.05,IN,1712894301
171,saurimo,-9.6608,20.3916,66.11,98,100,3.76,AO,1712894066
172,margaret river,-33.95,115.0667,74.75,44,41,4.32,AU,1712894302
173,lerwick,60.1545,-1.1494,48.2,93,91,24.58,GB,1712894303
174,motueka,-41.1333,173.0167,64.09,95,85,12.44,NZ,1712894304
175,aasiaat,68.7098,-52.8699,17.47,97,100,6.67,GL,1712894305
176,st. paul,44.9444,-93.0933,52.29,68,0,16.11,US,1712894132
177,san antonio de pale,-1.4014,5.6325,82.71,77,100,8.79,GQ,1712894306
178,bejar,40.3864,-5.7634,53.58,77,55,3.36,ES,1712894307
179,tura,25.5198,90.2201,94.48,21,3,4.07,IN,1712894308
180,jinzhou,41.1078,121.1417,68.0,50,55,20.92,CN,1712894309
181,vila franca do campo,37.7167,-25.4333,64.89,99,77,3.04,PT,1712894310
182,georgetown,5.4112,100.3354,91.94,64,20,8.05,MY,1712894259
183,red hill,33.9996,-79.2581,69.98,24,4,18.19,US,1712894312
184,kodiak,57.79,-152.4072,38.71,87,100,4.61,US,1712894313
185,okhotsk,59.3833,143.3,30.25,93,63,2.84,RU,1712894314
186,touros,-5.1989,-35.4608,79.07,88,98,4.88,BR,1712894314
187,vanimo,-2.6741,141.3028,83.43,86,94,4.94,PG,1712894315
188,smithers,54.7804,-127.1743,41.32,87,40,3.44,CA,1712894048
189,turkmenbasy,40.0222,52.9552,54.37,76,0,6.91,TM,1712894317
190,lazaro cardenas,17.9583,-102.2,74.41,83,7,1.95,MX,1712894318
191,vershino-darasunskiy,52.35,115.5167,50.5,31,20,4.94,RU,1712894319
192,saint-francois,46.4154,3.9054,43.65,100,0,3.44,FR,1712894319
193,den burg,53.0542,4.7972,54.97,99,100,19.57,NL,1712894320
194,ondjiva,-17.0667,15.7333,71.64,78,0,8.05,AO,1712894321
195,cheongju-si,36.6372,127.4897,69.76,49,20,4.61,KR,1712894322
196,tomelilla,55.5429,13.9546,48.25,98,100,10.36,SE,1712894323
197,kangding,30.0513,101.9603,62.78,38,91,4.05,CN,1712894324
198,lincheng,19.9078,109.6858,86.56,60,6,4.07,CN,1712894325
199,salinopolis,-0.6136,-47.3561,79.5,89,98,5.59,BR,1712894063
200,severo-yeniseyskiy,60.3725,93.0408,13.8,76,100,5.12,RU,1712894046
201,kayenta,36.7278,-110.2546,58.75,23,0,4.09,US,1712894330
202,olonkinbyen,70.9221,-8.7187,19.11,89,100,20.69,SJ,1712894043
203,guangyuan,32.442,105.823,74.75,59,45,7.94,CN,1712894331
204,kidal,18.4411,1.4078,80.53,10,84,12.62,ML,1712894068
205,nuuk,64.1835,-51.7216,23.88,85,9,5.01,GL,1712894307
206,west island,-12.1568,96.8225,85.98,70,75,8.05,CC,1712894044
207,geraldton,-28.7667,114.6,84.61,37,3,6.91,AU,1712894335
208,mahibadhoo,3.7833,72.9667,84.81,71,32,2.19,MV,1712894335
209,pisco,-13.7,-76.2167,71.65,83,0,3.44,PE,1712894047
210,sena madureira,-9.0656,-68.6569,73.76,98,90,2.06,BR,1712894337
211,al bawiti,28.3492,28.8659,59.9,56,0,5.55,EG,1712894338
212,pakxan,18.3778,103.6601,97.93,38,14,5.97,LA,1712894338
213,farafangana,-22.8167,47.8333,73.76,93,100,6.08,MG,1712894339
214,taupo,-38.6833,176.0833,62.1,97,100,10.09,NZ,1712894340
215,nyurba,63.2842,118.3319,8.11,75,94,5.77,RU,1712894341
216,wuhai,39.6647,106.8122,72.61,13,38,13.27,CN,1712894342
217,port isabel,26.0734,-97.2086,70.05,75,0,6.91,US,1712894342
218,gaiman,-43.2897,-65.4929,54.52,52,100,14.38,AR,1712894344
219,puerto deseado,-47.7503,-65.8938,49.82,60,0,12.55,AR,1712894345
220,dhuusamarreeb,5.535,46.3861,79.83,77,20,10.69,SO,1712894346
221,uruzgan,32.8333,66.0,52.75,90,100,2.44,AF,1712894347
222,khost,33.3395,69.9204,67.78,44,93,1.07,AF,1712894347
223,lompoc,34.6391,-120.4579,62.02,96,75,4.61,US,1712894347
224,matipo,-20.2839,-42.3411,65.57,96,43,4.43,BR,1712894348
225,fuyang,32.9,115.8167,75.22,63,33,3.42,CN,1712894348
226,petauke,-14.2426,31.3253,63.7,96,100,9.66,ZM,1712894349
227,nguigmi,14.2495,13.1092,80.06,16,80,12.19,NE,1712894349
228,sinop,41.7711,34.8709,46.83,90,100,2.08,TR,1712894065
229,lysekil,58.2743,11.4358,46.02,93,78,1.01,SE,1712894350
230,robertsport,6.7533,-11.3686,80.37,86,100,2.04,LR,1712894351
231,al ghayzah,16.2079,52.176,82.94,64,30,11.01,YE,1712894351
232,vadso,70.0744,29.7487,32.88,86,75,10.36,NO,1712894352
233,quebrangulo,-9.3189,-36.4711,72.05,99,38,2.93,BR,1712894353
234,pudozh,61.8099,36.5345,37.94,80,100,11.99,RU,1712894353
235,bryan,30.6744,-96.37,64.15,69,0,3.44,US,1712894273
236,ornskoldsvik,63.2909,18.7153,36.55,87,59,9.22,SE,1712894354
237,matoury,4.8483,-52.3317,80.56,94,75,10.36,GF,1712894355
238,awjilah,29.1081,21.2869,62.42,35,0,6.82,LY,1712894355
239,epalinges,46.5518,6.6683,48.72,84,17,4.0,CH,1712894355
240,bac lieu,9.285,105.7244,91.04,55,100,20.02,VN,1712894356
241,mandalgovi,45.7625,106.2708,57.16,24,65,17.18,MN,1712894356
242,myitkyina,25.3833,97.4,97.21,18,99,2.59,MM,1712894357
243,aral,40.5156,81.2636,72.52,11,49,11.21,CN,1712894357
244,manavalakurichi,8.1333,77.3,88.86,58,100,5.32,IN,1712894358
245,ta`u,-14.2336,-169.5144,84.61,76,40,11.12,AS,1712894076
246,aliveri,38.4167,24.0333,67.24,57,0,14.16,GR,1712894360
247,binalbagan,10.1948,122.8581,86.47,66,100,12.12,PH,1712894361
248,safford,32.834,-109.7076,74.12,18,2,3.96,US,1712894290
